"USER_ID","Predictions"
2,"Democrat"
3,"Republican"
6,"Republican"
7,"Democrat"
14,"Democrat"
28,"Republican"
29,"Democrat"
37,"Democrat"
44,"Democrat"
56,"Democrat"
62,"Democrat"
68,"Republican"
72,"Democrat"
74,"Republican"
80,"Democrat"
81,"Republican"
87,"Democrat"
92,"Democrat"
96,"Democrat"
100,"Republican"
104,"Democrat"
105,"Republican"
108,"Democrat"
124,"Democrat"
125,"Democrat"
127,"Democrat"
128,"Democrat"
129,"Republican"
130,"Democrat"
139,"Republican"
149,"Republican"
151,"Republican"
154,"Republican"
158,"Republican"
159,"Democrat"
168,"Democrat"
177,"Republican"
185,"Republican"
192,"Democrat"
195,"Republican"
198,"Democrat"
208,"Democrat"
209,"Democrat"
213,"Democrat"
225,"Democrat"
229,"Republican"
231,"Democrat"
236,"Democrat"
238,"Republican"
239,"Republican"
240,"Democrat"
244,"Democrat"
259,"Democrat"
260,"Democrat"
264,"Republican"
267,"Republican"
268,"Democrat"
271,"Democrat"
272,"Democrat"
274,"Republican"
285,"Republican"
286,"Democrat"
296,"Democrat"
308,"Democrat"
310,"Democrat"
318,"Republican"
333,"Republican"
340,"Democrat"
342,"Democrat"
343,"Republican"
344,"Democrat"
345,"Republican"
346,"Democrat"
352,"Democrat"
354,"Republican"
357,"Democrat"
366,"Democrat"
369,"Republican"
380,"Republican"
389,"Republican"
391,"Democrat"
394,"Democrat"
396,"Republican"
404,"Democrat"
407,"Republican"
422,"Republican"
426,"Republican"
428,"Democrat"
429,"Republican"
438,"Republican"
452,"Democrat"
462,"Democrat"
469,"Democrat"
480,"Republican"
488,"Republican"
489,"Democrat"
492,"Republican"
498,"Democrat"
505,"Democrat"
508,"Democrat"
510,"Democrat"
511,"Democrat"
512,"Republican"
518,"Democrat"
519,"Democrat"
522,"Republican"
523,"Democrat"
528,"Republican"
530,"Democrat"
543,"Republican"
549,"Democrat"
553,"Republican"
556,"Democrat"
558,"Democrat"
562,"Democrat"
563,"Democrat"
565,"Republican"
567,"Republican"
571,"Republican"
572,"Democrat"
581,"Republican"
584,"Democrat"
600,"Republican"
611,"Democrat"
617,"Democrat"
635,"Democrat"
642,"Democrat"
646,"Democrat"
648,"Democrat"
651,"Democrat"
659,"Democrat"
